日付,ユーザ,種別,url,テキスト,緯度,経度,,,,,,,,,,,,,,,,,,,
2019/6/19 7:51,あすきー,image,https://www.dropbox.com/s/gczwiocykub5han/image-Vpvo3b.jpg?dl=0,,38.38091599,139.5556789,,,,,,,,,,,,,,,,,,,
2019/6/19 7:51,あすきー,text,,事故ではないが警察？と自衛隊と住民がいた,38.38091599,139.5556789,,,,,,,,,,,,,,,,,,,
2019/6/19 7:53,あすきー,location,,日本、〒958-0201 新潟県村上市蒲萄 国道7号,38.40239725,139.557182,,,,,,,,,,,,,,,,,,,
2019/6/19 7:54,あすきー,text,,側道が車両通行止め,38.40239725,139.557182,,,,,,,,,,,,,,,,,,,
2019/6/19 8:27,あすきー,text,,村上方面抜けられない,38.40239725,139.557182,,,,,,,,,,,,,,,,,,,
2019/6/19 8:27,あすきー,location,,日本、〒959-3942 新潟県村上市勝木１２９６?１,38.49165863,139.5187683,,,,,,,,,,,,,,,,,,,
2019/6/19 8:27,あすきー,image,https://www.dropbox.com/s/qr6r6fhao4g5n9o/image-KULsTb.jpg?dl=0,,38.49165863,139.5187683,,,,,,,,,,,,,,,,,,,
2019/6/19 8:33,あすきー,location,,日本、〒959-3941 新潟県村上市碁石８０５,38.4970689,139.5191256,,,,,,,,,,,,,,,,,,,
2019/6/19 8:36,tom maehara,location,,"碁石海水浴場 碁石 村上市, 新潟県 日本",38.495103,139.518622,,,,,,,,,,,,,,,,,,,
2019/6/19 8:36,tom maehara,image,https://www.dropbox.com/s/i74v3xf1zvxstc0/image-XT3I3q.jpg?dl=0,,38.495103,139.518622,,,,,,,,,,,,,,,,,,,
2019/6/19 8:37,あすきー,image,https://www.dropbox.com/s/6p9gfa987dce6mw/image-rbpTOk.jpg?dl=0,,38.4970689,139.5191256,,,,,,,,,,,,,,,,,,,
2019/6/19 8:40,tom maehara,location,,"コメリハード＆グリーン 山北店 勝木722 村上市, 新潟県 日本",38.490458,139.52212,,,,,,,,,,,,,,,,,,,
2019/6/19 8:40,tom maehara,image,https://www.dropbox.com/s/mi495xod2rircyt/image-wDvu6B.jpg?dl=0,,38.490458,139.52212,,,,,,,,,,,,,,,,,,,
2019/6/19 8:46,あすきー,location,,日本、〒959-3907 新潟県村上市府屋２３２,38.51437007,139.5342458,,,,,,,,,,,,,,,,,,,
2019/6/19 8:46,あすきー,image,https://www.dropbox.com/s/dsuon5pdlqtsjgl/image-ly2bJt.jpg?dl=0,,38.51437007,139.5342458,,,,,,,,,,,,,,,,,,,
2019/6/19 8:46,あすきー,text,,"府屋
メディア多数",38.51437007,139.5342458,,,,,,,,,,,,,,,,,,,
2019/6/19 8:50,tom maehara,location,,"村上市役所山北支所 府屋232 村上市, 新潟県 959-3907 日本",38.51436,139.533928,,,,,,,,,,,,,,,,,,,
2019/6/19 8:50,tom maehara,image,https://www.dropbox.com/s/qmnfssr2gyawxun/image-UtNtsV.jpg?dl=0,,38.51436,139.533928,,,,,,,,,,,,,,,,,,,
